Rank,Name,Japanese_name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,End_year,Description,Content_Warning,Related_Mange,Related_anime,Voice_actors,staff
1369,Bleach Movie 3: Fade to Black, Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Movie,,Pierrot,,"Action, Shounen, Shinigami, Supernatural, Swordplay, Based on a Manga",3.89,2008.0,,"'One night, two mysterious figures infiltrate the Twelfth Squad’s laboratory for nefarious purposes, wiping out\xa0a third of Seireitei in the process. Amidst the commotion, the intruders approach Rukia and indirectly cause everyone she knows to forget about her – that is, except for Ichigo, who manages to escape this mind alteration. Sensing that something is wrong, Ichigo travels to Soul Society for answers; but with obliterated memories, everyone treats him as an enemy. Now, with all thirteen protection squads chasing him, can Ichigo find a way to retrieve the lost memories of his friends and rescue Rukia - not to mention find out why was she targeted in the first place?'",,"Bleach (Pilot), Bleach, Bleach: Letters From the Other Side (Light Novel), Bleach: The Honey Dish Rhapsody (Light Novel), Bleach: Jigoku Hen Special - The Unforgivens, Bleach 4-koma: Komaburi, Bleach Unmasked Short Stories, Bleach: Spirits Are Forever with You (Light Novel), Bleach: The Death Save the Strawberry (Light Novel), Bleach: We Do Knot Always Love You (Light Novel), Bleach: Can't Fear Your Own World (Light Novel)","Bleach: Memories in the Rain, Bleach, Bleach: The Sealed Sword Frenzy, Bleach Movie 1: Memories of Nobody, Bleach Movie 2: The DiamondDust Rebellion, Bleach Movie 4: Hell Verse","Homura : Aya Hirano, Ichigo Kurosaki : Masakazu Morita, Renji Abarai : Kentarou Itou, Rukia Kuchiki : Fumiko Orikasa, Shizuku : Hiroshi Kamiya, Byakuya Kuchiki : Ryotaro Okiayu, Genryuusai Yamamoto : Masaaki Tsukada, Hanatarou Yamada : Kouki Miyata, Tite Kubo
Original Creator, Noriyuki Abe
Director, Shirou Sagisu
Music, Masashi Kudou
Character Design, Ken Hagino
Producer, Shunji Aoki
Producer, Mikihiko Fukazawa
Producer, Ryouji Nakamori
Key Animator","Tite Kubo : Original Creator, Noriyuki Abe : Director, Shirou Sagisu : Music, Masashi Kudou : Character Design, Ken Hagino : Producer, Shunji Aoki : Producer, Mikihiko Fukazawa : Producer, Ryouji Nakamori : Key Animator"
1370,Interspecies Reviewers, Ishuzoku Reviewers,TV   ,12.0,Passione,Winter,"Comedy, Fantasy, Shounen, Borderline H, Medieval, Monster Girls, Monsters, Non-Human Protagonists, Based on a Manga, Explicit Sex,, Mature Themes,, Prostitution",3.89,2020.0,,"'In a world bursting at the seams with moe monsters and humanoids of the horned sort, which brave heroes will take it upon themselves to review the beastly babes of the red-light district? Can only one be crowned the ultimate title of best girl?'","Explicit Sex,, Mature Themes,, Prostitution","Interspecies Reviewers, Interspecies Reviewers: Ecstasy Days (Light Novel), Interspecies Reviewers Comic Anthology: Darkness, Interspecies Reviewers: Marionette Crisis (Light Novel)",,"Crimvael : Miyu Tomita, Stunk : Junji Majima, Zel : Hisako Kanemoto, Kanchal : Kaede Yuasa, Meidri : M.A.O., Aisha : Reina Aoyama, Aloe : Youko Hikasa, Bi Bananan : Juri Nagatsuma, Amahara
Original Creator, Yuuki Ogawa
Director, Takahiro Majima
Assistant Director, Kotone Naito
Music, Makoto Uno
Character Design & Chief Animation Director, Naoyuki Tatsuwa
Key Animator","Amahara : Original Creator, Yuuki Ogawa : Director, Takahiro Majima : Assistant Director, Kotone Naito : Music, Makoto Uno : Character Design & Chief Animation Director, Naoyuki Tatsuwa : Key Animator"
1371,Children Who Chase Lost Voices, Hoshi wo Ou Kodomo,Movie,,CoMix Wave Films,,"Adventure, Fantasy, Romance, Contemporary Fantasy, Isekai, Original Work",3.89,2011.0,,"'When she hears a strange song from a crystal radio, Asuna tunes into more than just a magical stream of music. Soon, she is transported to a mysterious world where mythical beasts roam and brave warriors fight for their lives. Agartha is a land of breathtaking beauty and unimaginable danger-a place where, it is believed, even the dead can be brought back to life. But at what cost?'",,"Children Who Chase Lost Voices from Deep Below, Children Who Chase Lost Voices from Deep Below (Light Novel)",,"Asuna Watase : Hisako Kanemoto, Ryuuji Morisaki : Kazuhiko Inoue, Shin : Miyu Irino, Mimi : Junko Takeuchi, Asuna'S Mother : Fumiko Orikasa, Asuna'S Teacher : Risa Mizuno, Lisa : Sumi Shimamoto, Mana : Rina Hidaka, Makoto Shinkai
Director, Tenmon
Music, Takayo Nishimura
Character Design, Toshiaki Doushita
Producer, Tomohiro Ogawa
Producer, Atsushi Iwasaki
Producer, Kouichirou Itou
Producer, Hiroshi Takiguchi
Background Artist","Makoto Shinkai : Director, Tenmon : Music, Takayo Nishimura : Character Design, Toshiaki Doushita : Producer, Tomohiro Ogawa : Producer, Atsushi Iwasaki : Producer, Kouichirou Itou : Producer, Hiroshi Takiguchi : Background Artist"
1372,Mieruko-chan,,TV   ,12.0,Passione,Fall ,"Comedy, Ecchi, Horror, Slice of Life, Ghosts, Psychological, Supernatural, Based on a Manga",3.89,2021.0,,"""One day, Miko suddenly started seeing grotesque beings that others couldn't. Her response was not to run, not to face them, but to do everything she could to completely ignore them! Can she keep a straight face and continue her day-to-day life while surrounded by horrifying monsters?""",,Mieruko-chan,,"Miko Yotsuya : Sora Amamiya, Hana Yurikawa : Kaede Hondo, Julia Niguredou : Ayane Sakura, Kyousuke Yotsuya : Yumiri Hanamori, Zen Tohno : Yuuichi Nakamura, Arai : Hana Satou, Chiko, Chiko'S Owner, Tomoki Izumi
Original Creator, Yuuki Ogawa
Director, Shintaro Matsushima
Assistant Director, Takahiro Majima
Assistant Director, Kenta Ihara
Screenplay & Series Composition, Kana Utatane
Music, Chikashi Kadekaru
Animation Director & Character Design, Yang Xiaomu
Photography Director","Tomoki Izumi : Original Creator, Yuuki Ogawa : Director, Shintaro Matsushima : Assistant Director, Takahiro Majima : Assistant Director, Kenta Ihara : Screenplay & Series Composition, Kana Utatane : Music, Chikashi Kadekaru : Animation Director & Character Design, Yang Xiaomu : Photography Director"
1373,The Kawai Complex Guide to Manors and Hostel Behavior: First Time, Bokura wa Minna Kawaisou: Hajimete no,DVD S,,Brain's Base,,"Comedy, Romance, Seinen, Slice of Life, School Life, Based on a Manga",3.89,2014.0,,'During Usa and Ritsu’s school culture festival. With their schedules being busy the two haven’t been able to spend a lot of time together. Ritsu begins to experience a sense of jealousy seeing Usa around other girls.',,The Kawai Complex Guide to Manors and Hostel Behavior,"The Kawai Complex Guide to Manors and Hostel Behavior Specials, The Kawai Complex Guide to Manors and Hostel Behavior","Kazunari Usa, Ritsu Kawai, Mayumi Nishikino, Sayaka Watanabe, Shirosaki, Sumiko, Andou, Hayashi, Ruri Miyahara
Original Creator",Ruri Miyahara : Original Creator
1374,Wo Shi Jiang Xiaobai 2nd Season, I'm Joybo 2nd Season,Web  ,12.0,2:10 Animation,,"Romance, Chinese Animation, CG Animation",3.89,2018.0,2019.0,'Second season of Wo Shi Jiang Xiaobai.',,,"Wo Shi Jiang Xiaobai, Wo Shi Jiang Xiaobai OVA",,
1375,Gakuen Alice,,TV   ,26.0,Group TAC,Fall ,"Comedy, Shoujo, Boarding School, Family Friendly, Magic, Magic School, School Life, Superpowers, Based on a Manga",3.89,2004.0,2005.0,"'Ever since they met, emotionless Hotaru and ditzy Mikanhave been best friends, and are virtually inseparable-- that is, until Hotaru is invited to attend a strange school far away, a school for those who have special abilities known as ""Alice"". Unable to be separated from her friend, Mikan soon sets out on a mission to find her. After traveling to a city far away, she finds Hotaru at last, but gets much more than she bargained for. Now, she is lost in a school full of kids with strange powers, unusual animals, and has secured an immediate rivalry with the toughest little punk in town!'",,Gakuen Alice,,"Hotaru Imai : Rie Kugimiya, Mikan Sakura : Kana Ueda, Natsume Hyuuga : Romi Park, Ruka Nogi : Miwa Yasuda, Anna Umenomiya : Rie Kanda, Kokoro Yome : Megumi Matsumoto, Narumi Anjo : Akira Ishida, Noda : Mamoru Miyano, Tachibana Higuchi
Original Creator, Takahiro Oomori
Director, Makoto Yoshimori
Music, Yoshiaki Itou
Animation Director & Character Design & Chief Animation Director, Yoshikazu Iwanami
Sound Director, Eizou Kondou
Producer, Atsuhiro Iwakami
Producer, Nobuyuki Suga
Producer","Tachibana Higuchi : Original Creator, Takahiro Oomori : Director, Makoto Yoshimori : Music, Yoshiaki Itou : Animation Director & Character Design & Chief Animation Director, Yoshikazu Iwanami : Sound Director, Eizou Kondou : Producer, Atsuhiro Iwakami : Producer, Nobuyuki Suga : Producer"
1376,The Wallflower, Yamato Nadeshiko Shichihenge♥,TV   ,25.0,Nippon Animation,Fall ,"Comedy, Reverse Harem, Shoujo, Chibi, Mansion, School Life, Based on a Manga",3.89,2006.0,2007.0,"'Nakahara Sunako, a high school girl whose interests include horror movies, coffins and gore, is sent by her aunt to live in an extravagant mansion with four ridiculously handsome boys. As if living with these “radiant creatures” who give her constant nosebleeds isn’t hard enough, she soon discovers that the boys have made a bet with her aunt: in exchange for free rent, they will try to mold Sunako into a magnificent lady. As someone who has cast aside all her femininity and sworn to live in darkness, Sunako is ready to do whatever it takes to nullify these efforts; but is there a way for the creatures of darkness and light to coexist?'",,"The Wallflower, Moero S-kei Seifuku Danshi!",,"Kyohei Takano : Showtaro Morikubo, Ranmaru Morii : Hirofumi Nojima, Sunako Nakahara : Yukiko Takaguchi, Takenaga Oda : Tomokazu Sugita, Yukinojo Toyama : Yuuya Yamauchi, Hiroshi : Norihisa Mori, Mine Nakahara : Yuka Komatsu, Noi Kasahara : Mai Nakahara, Tomoko Hayakawa
Original Creator, Shinichi Watanabe
Director & Episode Director & Storyboard, Yasuharu Takanashi
Music, Hiromi Mizutani
Music, Yasuko Sakuma
Character Design, Hiroyuki Hayase
Sound Director, Jun Togawa
Producer, Shinsaku Hatta
Producer","Tomoko Hayakawa : Original Creator, Shinichi Watanabe : Director & Episode Director & Storyboard, Yasuharu Takanashi : Music, Hiromi Mizutani : Music, Yasuko Sakuma : Character Design, Hiroyuki Hayase : Sound Director, Jun Togawa : Producer, Shinsaku Hatta : Producer"
1377,Knight's & Magic,,TV   ,13.0,8-Bit,Summer,"Action, Fantasy, Mecha, Seinen, Isekai, Magic, Modern Knowledge, Person in a Strange World, Reincarnation, Based on a Light Novel",3.89,2017.0,,"'A genius programmer and hardcore robot otaku is reborn into a world of knights and magic, where huge robots called Silhouette Knights roar across the land! Now reborn as Ernesti Echevalier, he uses his vast knowledge of machines and programming talents to begin to make his ultimate robot.\xa0 But his actions have unexpected results...?! The dreams of a robot otaku will change the world!'",,"Knight's & Magic (Light Novel), Knight's & Magic",,"Adeltrud Olter : Ayaka Oohashi, Archid Olter : Shinsuke Sugawara, Ernesti Echevarria : Rie Takahashi, Ambrosius Tahvo Fremmevira : Takayuki Sugou, Batson Tendony : Natsumi Fujiwara, David Hepken : Atsushi Imaruoka, Dietrich Knitz : Kazuyuki Okitsu, Edgar C. Blanche : Yasuaki Takumi, Yuusuke Yamamoto
Director, Masato Kouda
Music, Kenichirou Katsura
Character Design, Eiji Inomoto
Cg Director, Hidetaka Tenjin
Mechanical Design","Yuusuke Yamamoto : Director, Masato Kouda : Music, Kenichirou Katsura : Character Design, Eiji Inomoto : Cg Director, Hidetaka Tenjin : Mechanical Design"
1378,Towanoquon Movie 5: The Return of the Invincible, Towa no Quon Movie 5: Souzetsu no Raifuku,Movie,,Bones,,"Sci Fi, Supernatural, Superpowers, Original Work",3.89,2011.0,,"'With their home in jeopardy, some feel it is time to abandon the gardens. A new character steps in, one that Quon knows very well. The end is near, the players are set, and the final battle is about to begin!'",,Towa no Quon,"Towanoquon Movie 1: The Ephemeral Petals, Towanoquon Movie 2: Dancing Orchard in Chaos, Towanoquon Movie 3: The Complicity of Dreams, Towanoquon Movie 4: The Roaring Anxiety, Towanoquon Movie 6: Eternal Quon","Epsilon : Kohsuke Toriumi, Quon Mitsuchi : Hiroshi Kamiya, Seiji Kannazuki : Tooru Ookawa, Delta : Minako Kotobuki, Genji Kamishiro : Shinichirou Miki, Kazui Yuuma : Ryouko Shiraishi, Kiri Jougasaki : Saori Hayami, Ryou : Tatsuhisa Suzuki, Takeshi Mori
Director, Umanosuke Iida
Director, Kenji Kawai
Music, Toshihiro Kawamoto
Character Design, Toshiaki Doushita
Producer, Hisato Usui
Producer, Osamu Hosokawa
Producer, Makoto Watanabe
Producer","Takeshi Mori : Director, Umanosuke Iida : Director, Kenji Kawai : Music, Toshihiro Kawamoto : Character Design, Toshiaki Doushita : Producer, Hisato Usui : Producer, Osamu Hosokawa : Producer, Makoto Watanabe : Producer"
1379,Cautious Hero: The Hero Is Overpowered but Overly Cautious, Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,TV   ,12.0,WHITE FOX,Fall ,"Action, Adventure, Comedy, Fantasy, Demons, Gods, Isekai, Magic, Non-Human Protagonists, Overpowered Main Characters, Person in a Strange World, RPG, Summoned Into Another World, Based on a Light Novel, Violence",3.89,2019.0,,"'In the world of Gaeabrande, Goddess Ristarte is tasked with summoning a hero to save her world. The hero, Seiya Ryuuguuin, is an OVERLY cautious hero who’s obsessed with muscle training and buying armor before setting out to deal with low level creatures. It’s simply one overly cautious mission at-a-time for this invincible hero!'",Violence,"The Hero Is Overpowered But Overly Cautious (Light Novel), The Hero Is Overpowered But Overly Cautious",Cautious Hero: The Hero Is Overpowered but Overly Cautious Recap,"Ristarte : Aki Toyosaki, Seiya Ryuuguuin : Yuuichirou Umehara, Ariadoa : Hibiku Yamamura, Cerceus : Atsushi Ono, Elulu : Aoi Koga, Mash : Kengo Kawanishi, Rosalie Roseguard : Yumiri Hanamori, Adenela : Shiori Izawa, Light Tsuchihi
Original Creator, Masayuki Sakoi
Director, Kenta Ihara
Screenplay & Series Composition, Yoshiaki Fujisawa
Music, Mai Toda
Character Design, Mitsuhiro Ogata
Producer, Kazufumi Kikushima
Producer, Takumi Morii
Producer","Light Tsuchihi : Original Creator, Masayuki Sakoi : Director, Kenta Ihara : Screenplay & Series Composition, Yoshiaki Fujisawa : Music, Mai Toda : Character Design, Mitsuhiro Ogata : Producer, Kazufumi Kikushima : Producer, Takumi Morii : Producer"
1380,Dou Po Cangqiong 2nd Season Specials, Battle Through the Heavens 2nd Season Specials,Web  ,3.0,Motion Magic,,"Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation",3.89,2019.0,,'No synopsis yet - check back soon!',,,Dou Po Cangqiong 2nd Season,"Silkworm Potato
Original Creator",Silkworm Potato : Original Creator
1381,"Hora, Mimi ga Mieteru yo!"," Wei, Kanjian Erduo La!",TV   ,12.0,monofilmo,Fall ,"BL, Comedy, Fantasy, Romance, Shounen-ai, Slice of Life, Age Gap, Animal Characteristics, Animal Transformation, Cats, Contemporary Fantasy, Interspecies Relationship, Manga Industry, Non-Human Protagonists, Orphans, Roommates, Short Episodes, Writers, Based on a Webtoon",3.89,2018.0,,"'Follow Daisuu, a manga creator who grew up in an orphanage, and whose works do not sell very well. Daisuu lives each lonely day in boredom, but one day he meets a young man named Myou who has cat ears, and his everyday life completely changes. Myou gets in trouble every day, but for the first time in his life, Daisuu\'s heart experiences ""warmth."" The story follows their everyday comical life together while slowly unraveling the mystery of Myou.'",,Your Ears are Showing!,"Hora, Mimi ga Mieteru yo! 2","A Miao : Ayumu Murase, Da Shu : Yuuma Uchida, Dong Dong : Keigo Katsumada, Jin Zhu : Sarina Akito, Rang, Yi Tai Wan, Telexihu
Original Creator, Chiaki Sugano
Producer & Director","Telexihu : Original Creator, Chiaki Sugano : Producer & Director"
1382,IRODUKU: The World in Colors, Iroduku Sekai no Ashita kara,TV   ,13.0,P.A. WORKS,Fall ,"Drama, Magic, School Club, School Life, Time Travel, Original Work",3.89,2018.0,,"""In a world in the future where magic is still a part of everyday life, 17-year-old Hitomi Tsukishiro, a descendant of a family of mages, lost the ability to see colors when young and has grown up into a girl devoid of emotion. Concerned for her future, Hitomi's grandmother Kohaku decides to send her back through time to the year 2018, where she discovers a world where vivid colors spring forth.""",,,,"Hitomi Tsukishiro : Kaori Ishihara, Kohaku Tsukishiro : Sumi Shimamoto, Asagi Kazeno : Kana Ichinose, Chigusa Fukasawa : Ayumu Murase, Kurumi Kawai : Nao Touyama, Shou Yamabuki : Seiji Maeda, Yuito Aoi : Shouya Chiba, Gen Tsukishiro : Toshiyuki Morikawa, Natsuka Yashio
Original Creator, Toshiya Shinohara
Director, Yoshiaki Dewa
Music, Yuki Akiyama
Character Design, Hiroshi Kawamura
Producer, Mitsutoshi Ogura
Producer, Toshihiro Maeda
Producer, Fuminori Yamazaki
Producer","Natsuka Yashio : Original Creator, Toshiya Shinohara : Director, Yoshiaki Dewa : Music, Yuki Akiyama : Character Design, Hiroshi Kawamura : Producer, Mitsutoshi Ogura : Producer, Toshihiro Maeda : Producer, Fuminori Yamazaki : Producer"
